Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
23,22,0.4,19,232.19
23,22,0.4,19,133.14
23,22,0.4,19,170.23
23,22,0.4,19,214.91
23,22,0.4,19,271.21
23,22,0.4,19,208.85
23,22,0.4,19,111.82
23,22,0.4,19,254.99
23,22,0.4,19,321.92
23,22,0.4,19,142.73
23,22,0.4,19,146.80
23,22,0.4,19,73.28
23,22,0.4,19,171.53
23,22,0.4,19,369.68
23,22,0.4,19,146.80
23,22,0.4,19,120.37
23,22,0.4,19,149.78
23,22,0.4,19,138.28
23,22,0.4,19,76.71
23,22,0.4,19,123.69
23,22,0.4,19,181.72
23,22,0.4,19,157.67
23,22,0.4,19,272.56
23,22,0.4,19,192.72
23,22,0.4,19,276.17
23,22,0.4,19,230.92
23,22,0.4,19,133.96
23,22,0.4,19,166.52
23,22,0.4,19,174.92
23,22,0.4,19,141.96
23,22,0.4,19,190.42
23,22,0.4,19,192.73
23,22,0.4,19,222.99
23,22,0.4,19,172.59
23,22,0.4,19,200.76
23,22,0.4,19,191.77
23,22,0.4,19,240.74
23,22,0.4,19,135.60
23,22,0.4,19,211.82
23,22,0.4,19,269.30
23,22,0.4,19,211.82
23,22,0.4,19,208.66
23,22,0.4,19,188.87
23,22,0.4,19,232.99
23,22,0.4,19,119.14
23,22,0.4,19,154.37
23,22,0.4,19,225.60
23,22,0.4,19,223.14
23,22,0.4,19,212.34
23,22,0.4,19,176.80
23,22,0.4,19,254.55
23,22,0.4,19,172.59
23,22,0.4,19,155.32
23,22,0.4,19,192.72
23,22,0.4,19,146.55
23,22,0.4,19,191.77
23,22,0.4,19,185.53
23,22,0.4,19,165.63
23,22,0.4,19,120.37
23,22,0.4,19,242.88
23,22,0.4,19,305.39
23,22,0.4,19,133.14
23,22,0.4,19,291.21
23,22,0.4,19,141.96
23,22,0.4,19,230.92
23,22,0.4,19,100.01
23,22,0.4,19,189.45
23,22,0.4,19,213.03
23,22,0.4,19,309.22
23,22,0.4,19,195.56
23,22,0.4,19,161.82
23,22,0.4,19,214.40
23,22,0.4,19,203.85
23,22,0.4,19,178.46
23,22,0.4,19,128.65
23,22,0.4,19,152.69
23,22,0.4,19,191.77
23,22,0.4,19,214.58
23,22,0.4,19,160.22
23,22,0.4,19,158.14
23,22,0.4,19,237.83
23,22,0.4,19,238.29
23,22,0.4,19,250.47
23,22,0.4,19,248.71
23,22,0.4,19,318.36
23,22,0.4,19,266.00
23,22,0.4,19,211.82
23,22,0.4,19,262.39
23,22,0.4,19,188.09
23,22,0.4,19,293.10
23,22,0.4,19,175.97
23,22,0.4,19,149.77
23,22,0.4,19,205.83
23,22,0.4,19,154.37
23,22,0.4,19,241.66
23,22,0.4,19,217.14
23,22,0.4,19,170.89
23,22,0.4,19,260.84
23,22,0.4,19,162.72
23,22,0.4,19,207.61
23,22,0.4,19,183.33
